"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2021-09-02","2021-09-01"
"4","Statement of changes in beneficial ownership of securities","2021-09-02","2021-08-31"
"4","Statement of changes in beneficial ownership of securities","2021-08-24","2021-08-21"
"4","Statement of changes in beneficial ownership of securities","2021-08-24","2021-08-21"
"4","Statement of changes in beneficial ownership of securities","2021-08-20","2021-08-18"
"4","Statement of changes in beneficial ownership of securities","2021-08-17","2021-08-16"
"4","Statement of changes in beneficial ownership of securities","2021-08-17","2021-08-15"
"4","Statement of changes in beneficial ownership of securities","2021-08-17","2021-08-15"
"4","Statement of changes in beneficial ownership of securities","2021-08-17","2021-08-15"
"4","Statement of changes in beneficial ownership of securities","2021-08-17","2021-08-15"
"4","Statement of changes in beneficial ownership of securities","2021-08-17","2021-08-15"
"4","Statement of changes in beneficial ownership of securities","2021-08-17","2021-08-15"
"4","Statement of changes in beneficial ownership of securities","2021-08-12","2021-08-10"
"4","Statement of changes in beneficial ownership of securities","2021-08-09","2021-08-05"
"4","Statement of changes in beneficial ownership of securities","2021-08-04","2021-08-02"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2021-07-30","2021-06-30"
"8-K","Current report","2021-07-29","2021-07-29"
"13F-HR","Quarterly report filed by institutional managers, Holdings","2021-07-28","2021-06-30"
"4","Statement of changes in beneficial ownership of securities","2021-07-09","2021-07-07"
"4","Statement of changes in beneficial ownership of securities","2021-07-08","2021-07-07"
"4","Statement of changes in beneficial ownership of securities","2021-07-06","2021-07-05"
"4","Statement of changes in beneficial ownership of securities","2021-07-06","2021-07-05"
"3","Initial statement of beneficial ownership of securities","2021-07-06","2021-07-05"
"8-K","Current report","2021-07-02","2021-06-28"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-01"
"SD","Form - SD","2021-06-01",""
"8-K","Current report","2021-05-28","2021-05-26"
"4","Statement of changes in beneficial ownership of securities","2021-05-25","2021-05-21"
"4","Statement of changes in beneficial ownership of securities","2021-05-25","2021-05-21"
"4","Statement of changes in beneficial ownership of securities","2021-05-18","2021-05-15"
"4","Statement of changes in beneficial ownership of securities","2021-05-18","2021-05-15"
"4","Statement of changes in beneficial ownership of securities","2021-05-18","2021-05-15"
"4","Statement of changes in beneficial ownership of securities","2021-05-18","2021-05-15"
"4","Statement of changes in beneficial ownership of securities","2021-05-18","2021-05-15"
"4","Statement of changes in beneficial ownership of securities","2021-05-18","2021-05-15"
"4","Statement of changes in beneficial ownership of securities","2021-05-13","2021-05-12"
"8-K","Current report","2021-05-12","2021-05-12"
"424B2","Prospectus [Rule 424(b)(2)]","2021-05-12",""
"4","Statement of changes in beneficial ownership of securities","2021-05-11","2021-05-10"
