"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2021-09-15","2021-09-13"
"4","Statement of changes in beneficial ownership of securities","2021-09-15","2021-09-13"
"4","Statement of changes in beneficial ownership of securities","2021-09-15","2021-09-13"
"4","Statement of changes in beneficial ownership of securities","2021-09-15","2021-09-13"
"4","Statement of changes in beneficial ownership of securities","2021-09-15","2021-09-13"
"4","Statement of changes in beneficial ownership of securities","2021-09-15","2021-09-13"
"4","Statement of changes in beneficial ownership of securities","2021-09-13","2021-09-10"
"4","Statement of changes in beneficial ownership of securities","2021-09-13","2021-09-10"
"4","Statement of changes in beneficial ownership of securities","2021-09-10","2021-09-09"
"4","Statement of changes in beneficial ownership of securities","2021-09-10","2021-09-09"
"4","Statement of changes in beneficial ownership of securities","2021-09-10","2021-09-09"
"4","Statement of changes in beneficial ownership of securities","2021-09-10","2021-09-09"
"4","Statement of changes in beneficial ownership of securities","2021-09-10","2021-09-09"
"4","Statement of changes in beneficial ownership of securities","2021-09-10","2021-09-09"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-02"
"4","Statement of changes in beneficial ownership of securities","2021-09-03","2021-09-01"
"25-NSE","Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities","2021-09-03",""
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-31"
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-30"
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-30"
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-30"
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-30"
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-30"
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-30"
"4","Statement of changes in beneficial ownership of securities","2021-09-01","2021-08-30"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2021-07-29","2021-06-30"
"8-K","Current report","2021-07-27","2021-07-27"
"4","Statement of changes in beneficial ownership of securities","2021-07-16","2021-07-15"
"3","Initial statement of beneficial ownership of securities","2021-07-09","2021-07-01"
"8-K","Current report","2021-07-08","2021-07-08"
"11-K","Annual report of employee stock purchase, savings and similar plans","2021-06-24","2020-12-31"
"11-K","Annual report of employee stock purchase, savings and similar plans","2021-06-24","2020-12-31"
"8-K","Current report","2021-06-17","2021-06-16"
"4","Statement of changes in beneficial ownership of securities","2021-06-11","2021-06-10"
"4","Statement of changes in beneficial ownership of securities","2021-06-11","2021-06-10"
"4","Statement of changes in beneficial ownership of securities","2021-06-11","2021-06-10"
"4","Statement of changes in beneficial ownership of securities","2021-06-11","2021-06-10"
"4","Statement of changes in beneficial ownership of securities","2021-06-11","2021-06-10"
"4","Statement of changes in beneficial ownership of securities","2021-06-11","2021-06-10"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-03","2021-06-02"
"4","Statement of changes in beneficial ownership of securities","2021-06-02","2021-06-01"
"SD","Form - SD","2021-05-27",""
"8-K","Current report","2021-05-20","2021-05-20"
"4","Statement of changes in beneficial ownership of securities","2021-05-14","2021-05-12"
"4","Statement of changes in beneficial ownership of securities","2021-05-11","2021-05-10"
"4","Statement of changes in beneficial ownership of securities","2021-05-10","2021-05-07"
"4","Statement of changes in beneficial ownership of securities","2021-05-10","2021-05-04"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2021-04-27","2021-03-31"
"8-K","Current report","2021-04-27","2021-04-27"
"4","Statement of changes in beneficial ownership of securities","2021-04-16","2021-04-15"
"8-K","Current report","2021-04-12","2021-04-12"
"11-K","Annual report of employee stock purchase, savings and similar plans","2021-03-22","2020-12-31"
"8-K","Current report","2021-03-17","2021-03-16"
"4","Statement of changes in beneficial ownership of securities","2021-03-12","2021-03-11"
"4","Statement of changes in beneficial ownership of securities","2021-03-12","2021-03-11"
"4","Statement of changes in beneficial ownership of securities","2021-03-12","2021-03-11"
"4","Statement of changes in beneficial ownership of securities","2021-03-12","2021-03-11"
"4","Statement of changes in beneficial ownership of securities","2021-03-12","2021-03-11"
"4","Statement of changes in beneficial ownership of securities","2021-03-12","2021-03-11"
"4","Statement of changes in beneficial ownership of securities","2021-03-12","2021-03-09"
"4","Statement of changes in beneficial ownership of securities","2021-03-11","2021-03-10"
"EFFECT","Notice of Effectiveness","2021-03-04",""
"424B3","Prospectus [Rule 424(b)(3)]","2021-03-04",""
"4","Statement of changes in beneficial ownership of securities","2021-03-03","2021-03-01"
"4","Statement of changes in beneficial ownership of securities","2021-03-03","2021-03-01"
"4","Statement of changes in beneficial ownership of securities","2021-03-03","2021-01-15"
"4","Statement of changes in beneficial ownership of securities","2021-03-03","2021-03-01"
"4","Statement of changes in beneficial ownership of securities","2021-03-03","2021-03-01"
"4","Statement of changes in beneficial ownership of securities","2021-03-03","2021-03-01"
"4","Statement of changes in beneficial ownership of securities","2021-03-03","2021-03-01"
"CORRESP","Correspondence","2021-03-02",""
"8-K","Current report","2021-03-02","2021-03-02"
"S-4/A","Registration of securities, business combinations - amendment","2021-03-02",""
"UPLOAD","SEC-generated letter","2021-02-19",""
"8-K","Current report","2021-02-16","2021-02-16"
"S-4","Registration of securities, business combinations","2021-02-16",""
"4","Statement of changes in beneficial ownership of securities","2021-02-12","2021-02-10"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-10",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2021-02-05",""
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-29"
"4","Statement of changes in beneficial ownership of securities","2021-02-01","2021-01-28"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2021-01-26","2020-12-31"
"8-K","Current report","2021-01-26","2021-01-26"
"4","Statement of changes in beneficial ownership of securities","2021-01-19","2021-01-15"
"4","Statement of changes in beneficial ownership of securities","2021-01-19","2020-12-18"
"4","Statement of changes in beneficial ownership of securities","2020-12-11","2020-12-10"
"4","Statement of changes in beneficial ownership of securities","2020-12-11","2020-12-10"
"4","Statement of changes in beneficial ownership of securities","2020-12-11","2020-12-10"
"4","Statement of changes in beneficial ownership of securities","2020-12-11","2020-12-10"
"4","Statement of changes in beneficial ownership of securities","2020-12-11","2020-12-10"
"4","Statement of changes in beneficial ownership of securities","2020-12-11","2020-12-10"
"4","Statement of changes in beneficial ownership of securities","2020-12-11","2020-12-09"
"8-K","Current report","2020-12-04","2020-12-02"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-12-01"
"4","Statement of changes in beneficial ownership of securities","2020-12-02","2020-11-30"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2020-11-24",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2020-11-24",""
"4","Statement of changes in beneficial ownership of securities","2020-11-13","2020-11-11"
"3","Initial statement of beneficial ownership of securities","2020-11-13","2020-11-11"
"4","Statement of changes in beneficial ownership of securities","2020-11-06","2020-11-05"
"4","Statement of changes in beneficial ownership of securities","2020-11-06","2020-11-05"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-10-27","2020-09-30"
"8-K","Current report","2020-10-27","2020-10-27"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2020-10-19",""
"DEF 14A","Other definitive proxy statements","2020-10-19","2020-12-02"
"4","Statement of changes in beneficial ownership of securities","2020-10-16","2020-10-15"
"4","Statement of changes in beneficial ownership of securities","2020-09-21","2020-09-18"
"8-K","Current report","2020-09-21","2020-09-21"
"4","Statement of changes in beneficial ownership of securities","2020-09-16","2020-09-14"
"4","Statement of changes in beneficial ownership of securities","2020-09-16","2020-09-15"
"4","Statement of changes in beneficial ownership of securities","2020-09-16","2020-09-14"
"4","Statement of changes in beneficial ownership of securities","2020-09-16","2020-09-14"
"4","Statement of changes in beneficial ownership of securities","2020-09-16","2020-09-14"
"4","Statement of changes in beneficial ownership of securities","2020-09-16","2020-09-14"
"4","Statement of changes in beneficial ownership of securities","2020-09-11","2020-09-09"
"4","Statement of changes in beneficial ownership of securities","2020-09-11","2020-09-10"
"4","Statement of changes in beneficial ownership of securities","2020-09-11","2020-09-10"
"4","Statement of changes in beneficial ownership of securities","2020-09-11","2020-09-10"
"4","Statement of changes in beneficial ownership of securities","2020-09-11","2020-09-10"
"4","Statement of changes in beneficial ownership of securities","2020-09-11","2020-09-10"
"4","Statement of changes in beneficial ownership of securities","2020-09-11","2020-09-10"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4","Statement of changes in beneficial ownership of securities","2020-09-09","2020-09-04"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2020-09-08","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-09-04","2020-09-03"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-09-02","2020-08-31"
"4","Statement of changes in beneficial ownership of securities","2020-08-26","2020-08-25"
"4","Statement of changes in beneficial ownership of securities","2020-08-18","2020-08-17"
"5","Annual statement of changes in beneficial ownership of securities","2020-08-07","2020-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2020-08-07","2020-06-30"
"4","Statement of changes in beneficial ownership of securities","2020-08-07","2020-08-06"
"3/A","Initial statement of beneficial ownership of securities - amendment","2020-08-05","2020-07-31"
"3","Initial statement of beneficial ownership of securities","2020-08-05","2020-07-31"
"8-K","Current report","2020-08-03","2020-08-02"
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2020-07-31",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2020-07-30","2020-06-30"
"D","Notice of Exempt Offering of Securities","2020-07-24",""
"8-K","Current report","2020-07-22","2020-07-22"
"8-K","Current report","2020-07-07","2020-07-01"
"4","Statement of changes in beneficial ownership of securities","2020-07-01","2020-06-30"
"8-K","Current report","2020-07-01","2020-07-01"
"8-K","Current report","2020-06-26","2020-06-26"
"11-K","Annual report of employee stock purchase, savings and similar plans","2020-06-17","2019-12-31"
"11-K","Annual report of employee stock purchase, savings and similar plans","2020-06-17","2019-12-31"
"4","Statement of changes in beneficial ownership of securities","2020-06-12","2020-06-11"
"4","Statement of changes in beneficial ownership of securities","2020-06-12","2020-06-11"
"4","Statement of changes in beneficial ownership of securities","2020-06-12","2020-06-11"
"4","Statement of changes in beneficial ownership of securities","2020-06-12","2020-06-11"
"4","Statement of changes in beneficial ownership of securities","2020-06-12","2020-06-11"
"4","Statement of changes in beneficial ownership of securities","2020-06-12","2020-06-11"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-02-29"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-08","2020-06-04"
"4","Statement of changes in beneficial ownership of securities","2020-06-03","2020-06-01"
"8-K","Current report","2020-06-01","2020-05-29"
"SD","Form - SD","2020-05-29",""
"EFFECT","Notice of Effectiveness","2020-05-19",""
"424B3","Prospectus [Rule 424(b)(3)]","2020-05-19",""
"8-K","Current report","2020-05-14","2020-05-14"
"S-4/A","Registration of securities, business combinations - amendment","2020-05-14",""
"4","Statement of changes in beneficial ownership of securities","2020-05-04","2020-05-01"
"4","Statement of changes in beneficial ownership of securities","2020-05-04","2020-05-01"
"8-K","Current report","2020-04-30","2020-04-30"
"S-4","Registration of securities, business combinations","2020-04-30",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-04-29","2020-03-31"
"8-K","Current report","2020-04-29","2020-04-29"
"8-K","Current report","2020-03-31","2020-03-28"
"11-K","Annual report of employee stock purchase, savings and similar plans","2020-03-20","2019-12-31"
"4","Statement of changes in beneficial ownership of securities","2020-03-18","2020-03-18"
"4","Statement of changes in beneficial ownership of securities","2020-03-16","2020-03-12"
"4","Statement of changes in beneficial ownership of securities","2020-03-13","2020-03-12"
"4","Statement of changes in beneficial ownership of securities","2020-03-13","2020-03-12"
"4","Statement of changes in beneficial ownership of securities","2020-03-13","2020-03-12"
"4","Statement of changes in beneficial ownership of securities","2020-03-13","2020-03-12"
"4","Statement of changes in beneficial ownership of securities","2020-03-13","2020-03-12"
"8-K","Current report","2020-03-13","2020-03-13"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-03"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"4","Statement of changes in beneficial ownership of securities","2020-03-04","2020-03-02"
"8-K","Current report","2020-02-26","2020-02-26"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-02-12",""
"4","Statement of changes in beneficial ownership of securities","2020-02-07","2020-02-06"
"4","Statement of changes in beneficial ownership of securities","2020-02-07","2020-02-06"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2020-02-05",""
"4","Statement of changes in beneficial ownership of securities","2020-02-04","2020-02-04"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"4","Statement of changes in beneficial ownership of securities","2020-02-03","2020-01-31"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2020-01-29","2019-12-31"
"8-K","Current report","2020-01-29","2020-01-29"
"4","Statement of changes in beneficial ownership of securities","2019-12-16","2019-12-12"
"4","Statement of changes in beneficial ownership of securities","2019-12-16","2019-12-12"
"4","Statement of changes in beneficial ownership of securities","2019-12-16","2019-12-12"
"4","Statement of changes in beneficial ownership of securities","2019-12-16","2019-12-12"
"4","Statement of changes in beneficial ownership of securities","2019-12-16","2019-12-12"
"4","Statement of changes in beneficial ownership of securities","2019-12-16","2019-12-12"
"4","Statement of changes in beneficial ownership of securities","2019-12-09","2019-12-04"
"4","Statement of changes in beneficial ownership of securities","2019-12-09","2019-12-05"
"8-K","Current report","2019-12-05","2019-12-04"
"3","Initial statement of beneficial ownership of securities","2019-12-04","2019-12-04"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-04","2019-12-03"
"4","Statement of changes in beneficial ownership of securities","2019-12-02","2019-11-26"
"4","Statement of changes in beneficial ownership of securities","2019-12-02","2019-12-02"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2019-12-02",""
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2019-11-22",""
"CERT","Form - CERT","2019-11-08",""
"25","Notification of the removal from listing and registration of matured, redeemed or retired securities","2019-11-08",""
"8-A12B","Registration of securities [Section 12(b)]","2019-11-08",""
"4","Statement of changes in beneficial ownership of securities","2019-11-07","2019-11-06"
"4","Statement of changes in beneficial ownership of securities","2019-11-05","2019-11-04"
"4","Statement of changes in beneficial ownership of securities","2019-10-30","2019-10-29"
"4","Statement of changes in beneficial ownership of securities","2019-10-28","2019-10-25"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-10-23","2019-09-30"
"8-K","Current report","2019-10-23","2019-10-23"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2019-10-16",""
"DEF 14A","Other definitive proxy statements","2019-10-16","2019-12-04"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"4","Statement of changes in beneficial ownership of securities","2019-09-19","2019-09-18"
"8-K","Current report","2019-09-19","2019-09-19"
"4","Statement of changes in beneficial ownership of securities","2019-09-13","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-13","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-13","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-13","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-13","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-13","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-13","2019-09-12"
"4","Statement of changes in beneficial ownership of securities","2019-09-11","2019-09-10"
"4","Statement of changes in beneficial ownership of securities","2019-09-11","2019-09-10"
"4","Statement of changes in beneficial ownership of securities","2019-09-06","2019-09-05"
"4","Statement of changes in beneficial ownership of securities","2019-09-05","2019-09-04"
"4","Statement of changes in beneficial ownership of securities","2019-09-05","2019-09-04"
"4","Statement of changes in beneficial ownership of securities","2019-09-05","2019-09-05"
"4","Statement of changes in beneficial ownership of securities","2019-09-05","2019-09-05"
"4","Statement of changes in beneficial ownership of securities","2019-09-05","2019-09-04"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-09-04","2019-09-03"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-30","2019-08-29"
"4","Statement of changes in beneficial ownership of securities","2019-08-14","2019-08-13"
"4","Statement of changes in beneficial ownership of securities","2019-08-12","2019-08-08"
"4","Statement of changes in beneficial ownership of securities","2019-08-05","2019-08-01"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2019-08-01","2019-06-30"
"4","Statement of changes in beneficial ownership of securities","2019-07-30","2019-07-29"
"4","Statement of changes in beneficial ownership of securities","2019-07-29","2019-07-26"
"8-K","Current report","2019-07-18","2019-07-18"
"4","Statement of changes in beneficial ownership of securities","2019-06-14","2019-06-13"
